Drug1Name Drug1DBID Drug2Name Drug2DBID Description
Pravastatin	DB00175	Azelastine	DB00972	The serum concentration of Pravastatin can be increased when it is combined with Azelastine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Azithromycin	DB00207	The serum concentration of Pravastatin can be increased when it is combined with Azithromycin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Benzocaine	DB01086	The serum concentration of Pravastatin can be increased when it is combined with Benzocaine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Bepridil	DB01244	The serum concentration of Pravastatin can be increased when it is combined with Bepridil.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Betamethasone	DB00443	The serum concentration of Betamethasone can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Bexarotene	DB00307	The serum concentration of Pravastatin can be decreased when it is combined with Bexarotene.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Bezafibrate	DB01393	Bezafibrate may increase the myopathic rhabdomyolysis activities of Pravastatin.	drug2 may increase the myopathic rhabdomyolysis activities of drug1.
Pravastatin	DB00175	Biperiden	DB00810	The serum concentration of Pravastatin can be increased when it is combined with Biperiden.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Bismuth Subcitrate	DB09275	The serum concentration of Pravastatin can be decreased when it is combined with Bismuth Subcitrate.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Boceprevir	DB08873	The serum concentration of Pravastatin can be increased when it is combined with Boceprevir.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Bortezomib	DB00188	The metabolism of Pravastatin can be decreased when combined with Bortezomib.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Bosentan	DB00559	The metabolism of Pravastatin can be increased when combined with Bosentan.	the metabolism of drug1 can be increased when combined with drug2.
Pravastatin	DB00175	Bosutinib	DB06616	The serum concentration of Bosutinib can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Brentuximab vedotin	DB08870	The serum concentration of Brentuximab vedotin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Bromocriptine	DB01200	The serum concentration of Pravastatin can be increased when it is combined with Bromocriptine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Buprenorphine	DB00921	The serum concentration of Pravastatin can be increased when it is combined with Buprenorphine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Buspirone	DB00490	The serum concentration of Pravastatin can be increased when it is combined with Buspirone.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cabazitaxel	DB06772	The serum concentration of Cabazitaxel can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Caffeine	DB00201	The serum concentration of Pravastatin can be increased when it is combined with Caffeine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Calcium carbonate	DB06724	The serum concentration of Pravastatin can be decreased when it is combined with Calcium carbonate.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Camptothecin	DB04690	The serum concentration of Camptothecin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Canagliflozin	DB08907	The serum concentration of Canagliflozin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Candesartan	DB00796	The serum concentration of Pravastatin can be increased when it is combined with Candesartan.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Capecitabine	DB01101	The metabolism of Pravastatin can be decreased when combined with Capecitabine.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Captopril	DB01197	The serum concentration of Pravastatin can be increased when it is combined with Captopril.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Carbamazepine	DB00564	The metabolism of Pravastatin can be increased when combined with Carbamazepine.	the metabolism of drug1 can be increased when combined with drug2.
Pravastatin	DB00175	Carfilzomib	DB08889	The serum concentration of Carfilzomib can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Carvedilol	DB01136	The serum concentration of Pravastatin can be increased when it is combined with Carvedilol.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Caspofungin	DB00520	The serum concentration of Pravastatin can be increased when it is combined with Caspofungin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Ceritinib	DB09063	The serum concentration of Pravastatin can be increased when it is combined with Ceritinib.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cerivastatin	DB00439	The serum concentration of Cerivastatin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Chloroquine	DB00608	The serum concentration of Pravastatin can be increased when it is combined with Chloroquine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Chlorpromazine	DB00477	The serum concentration of Pravastatin can be increased when it is combined with Chlorpromazine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Chlorpropamide	DB00672	The serum concentration of Pravastatin can be increased when it is combined with Chlorpropamide.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Chlorprothixene	DB01239	The serum concentration of Pravastatin can be increased when it is combined with Chlorprothixene.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cholecalciferol	DB00169	The metabolism of Pravastatin can be decreased when combined with Cholecalciferol.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Cholesterol	DB04540	The serum concentration of Pravastatin can be increased when it is combined with Cholesterol.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cholestyramine	DB01432	The serum concentration of Pravastatin can be decreased when it is combined with Cholestyramine.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Cholic Acid	DB02659	The serum concentration of Pravastatin can be decreased when it is combined with Cholic Acid.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Cilazapril	DB01340	The serum concentration of Pravastatin can be increased when it is combined with Cilazapril.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cimetidine	DB00501	The serum concentration of Pravastatin can be decreased when it is combined with Cimetidine.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Ciprofibrate	DB09064	The risk or severity of adverse effects can be increased when Ciprofibrate is combined with Pravastatin.	the risk or severity of adverse effects can be increased when drug2 is combined with drug1.
Pravastatin	DB00175	Ciprofloxacin	DB00537	The serum concentration of Pravastatin can be increased when it is combined with Ciprofloxacin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cisplatin	DB00515	The serum concentration of Cisplatin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Citalopram	DB00215	The serum concentration of Pravastatin can be increased when it is combined with Citalopram.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Clarithromycin	DB01211	The serum concentration of Pravastatin can be increased when it is combined with Clarithromycin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Clemastine	DB00283	The metabolism of Pravastatin can be decreased when combined with Clemastine.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Clobazam	DB00349	The serum concentration of Clobazam can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Clofazimine	DB00845	The serum concentration of Pravastatin can be increased when it is combined with Clofazimine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Clomifene	DB00882	The serum concentration of Clomifene can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Clomipramine	DB01242	The serum concentration of Pravastatin can be increased when it is combined with Clomipramine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Clonidine	DB00575	The serum concentration of Clonidine can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Clopidogrel	DB00758	The serum concentration of Clopidogrel can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Clotrimazole	DB00257	The metabolism of Pravastatin can be decreased when combined with Clotrimazole.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Clozapine	DB00363	The serum concentration of Clozapine can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Cobicistat	DB09065	The metabolism of Pravastatin can be decreased when combined with Cobicistat.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Cobimetinib	DB05239	The serum concentration of Cobimetinib can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Colchicine	DB01394	Colchicine may increase the myopathic rhabdomyolysis activities of Pravastatin.	drug2 may increase the myopathic rhabdomyolysis activities of drug1.
Pravastatin	DB00175	Colesevelam	DB00930	The serum concentration of Pravastatin can be decreased when it is combined with Colesevelam.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Colestipol	DB00375	The serum concentration of Pravastatin can be decreased when it is combined with Colestipol.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Colforsin	DB02587	The serum concentration of Pravastatin can be increased when it is combined with Colforsin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Conivaptan	DB00872	The serum concentration of Pravastatin can be increased when it is combined with Conivaptan.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Conjugated Equine Estrogens	DB00286	The serum concentration of Conjugated Equine Estrogens can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Crizotinib	DB08865	The metabolism of Pravastatin can be decreased when combined with Crizotinib.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Cyclophosphamide	DB00531	The serum concentration of Pravastatin can be increased when it is combined with Cyclophosphamide.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cyclosporine	DB00091	The serum concentration of Pravastatin can be increased when it is combined with Cyclosporine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Cyclosporine	DB00091	The metabolism of Pravastatin can be decreased when combined with Cyclosporine.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Cyproterone acetate	DB04839	The serum concentration of Pravastatin can be increased when it is combined with Cyproterone acetate.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dabigatran etexilate	DB06695	The serum concentration of the active metabolites of Dabigatran etexilate can be increased when Dabigatran etexilate is used in combination with Pravastatin.	the serum concentration of the active metabolites of drug2 can be increased when drug2 is used in combination with drug1.
Pravastatin	DB00175	Dabrafenib	DB08912	The serum concentration of Pravastatin can be decreased when it is combined with Dabrafenib.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Daclatasvir	DB09102	The serum concentration of Pravastatin can be increased when it is combined with Daclatasvir.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dactinomycin	DB00970	The serum concentration of Pravastatin can be increased when it is combined with Dactinomycin.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Danazol	DB01406	The serum concentration of Pravastatin can be increased when it is combined with Danazol.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dapagliflozin	DB06292	The serum concentration of Dapagliflozin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Daptomycin	DB00080	The risk or severity of adverse effects can be increased when Pravastatin is combined with Daptomycin.	the risk or severity of adverse effects can be increased when drug1 is combined with drug2.
Pravastatin	DB00175	Darunavir	DB01264	The serum concentration of Pravastatin can be increased when it is combined with Darunavir.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dasatinib	DB01254	The serum concentration of Pravastatin can be increased when it is combined with Dasatinib.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Daunorubicin	DB00694	The serum concentration of Pravastatin can be decreased when it is combined with Daunorubicin.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Debrisoquin	DB04840	The serum concentration of Debrisoquin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Deferasirox	DB01609	The serum concentration of Pravastatin can be decreased when it is combined with Deferasirox.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Delavirdine	DB00705	The metabolism of Pravastatin can be decreased when combined with Delavirdine.	the metabolism of drug1 can be decreased when combined with drug2.
Pravastatin	DB00175	Desipramine	DB01151	The serum concentration of Pravastatin can be increased when it is combined with Desipramine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Desloratadine	DB00967	The serum concentration of Pravastatin can be increased when it is combined with Desloratadine.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dexamethasone	DB01234	The serum concentration of Pravastatin can be decreased when it is combined with Dexamethasone.	the serum concentration of drug1 can be decreased when it is combined with drug2.
Pravastatin	DB00175	Dextromethorphan	DB00514	The serum concentration of Pravastatin can be increased when it is combined with Dextromethorphan.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Diazepam	DB00829	The serum concentration of Diazepam can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Diclofenac	DB00586	The serum concentration of Pravastatin can be increased when it is combined with Diclofenac.	the serum concentration of drug1 can be increased when it is combined with drug2.
Pravastatin	DB00175	Dicoumarol	DB00266	Pravastatin may increase the anticoagulant activities of Dicoumarol.	drug1 may increase the anticoagulant activities of drug2.
Pravastatin	DB00175	Diethylstilbestrol	DB00255	The serum concentration of Diethylstilbestrol can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
Pravastatin	DB00175	Digitoxin	DB01396	The serum concentration of Digitoxin can be increased when it is combined with Pravastatin.	the serum concentration of drug2 can be increased when it is combined with drug1.
